A,B,Segment,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler
prepro,encoding,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as a woman you should complain about cleaning up your house amp as a man you should always take the trash out,2,1,0,0,0,0,13.64,4.55,9.09,0,0,9.09,0,0,0,0,9.09,4.55,4.55,4.55,0,4.55,0,0,0,0,27.27,4.55,0,0,4.55,0,4.55,22.73,0,0,4.55,4.55,0,0,0,0,4.55,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,9.09,9.09,0,0,9.09,0,0,0,4.55,0,0,0,0,0,0,0,0
boy dats coldtyga dwn bad for cuffin dat hoe in the st place,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,7.69,7.69,0,7.69,0,0,0,7.69,15.38,0,0,0,0,0,0,15.38,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,15.38,0,0,15.38,0,0,0,0,0,0,0,7.69,7.69,0,0,0
you ever fuck a bitch and she sta to cry you be confused as shit,1,1,0,0,0,0,13.33,6.67,6.67,0,0,0,6.67,0,0,0,33.33,0,13.33,13.33,0,13.33,0,0,6.67,20,26.67,6.67,0,0,0,0,6.67,20,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0
she look like a tranny,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0
the shit you hear about me might be true or it might be faker than the bitch who told it to ya,1,1,0,0,0,0,22.73,0,22.73,0,0,0,13.64,0,9.09,0,13.64,0,4.55,0,0,0,0,0,0,9.09,22.73,9.09,0,0,0,4.55,4.55,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,4.55,0,0,4.55,0,9.09,4.55,4.55,0,0,0
the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes,1,1,0,0,0,0,11.76,0,11.76,0,0,0,5.88,0,5.88,0,17.65,0,0,0,0,0,0,0,0,17.65,23.53,5.88,0,0,0,5.88,0,17.65,0,0,5.88,0,0,0,0,0,5.88,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0
i can not just sit up and hate on another bitch i got too much shit going on,1,1,0,0,0,0,16.67,0,16.67,0,0,5.56,0,0,11.11,0,27.78,0,16.67,5.56,0,5.56,0,5.56,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,16.67,0,5.56,11.11,0,0,0,0,0,5.56,5.56,0,0,0,0,0
cause im tired of you big bitches coming for us skinny girls,1,1,8.33,8.33,0,0,8.33,0,8.33,0,8.33,0,0,0,0,0,16.67,0,8.33,8.33,0,8.33,0,0,0,8.33,25,0,0,0,0,0,0,25,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,8.33,8.33,0,8.33,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0
amp you might not get ya bitch back amp thats that,1,1,0,0,0,0,18.18,0,18.18,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,9.09,18.18,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,18.18,9.09,0,0,9.09,0,0,0,0,0,9.09,9.09,9.09,9.09,0,0,0
hobbies include fighting mariam bitch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,20,0,0,0,0,0,0,20,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keeks is a bitch she curves everyone lol i walked io a conversation like this smh,1,1,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,12.5,0,6.25,0,0,0,0,0,0,6.25,18.75,6.25,0,0,0,0,6.25,12.5,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,18.75,0,12.5,6.25,0,0,0,0,6.25,6.25,0,12.5,12.5,0,0,0
murda gang bitch its gang land,1,1,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0
so hoes that smoke are losers yea go on ig,1,1,10,0,10,10,0,0,0,0,0,0,0,0,0,0,20,0,10,0,0,0,0,0,0,10,20,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,10,0,0,0,0,0,10,0,20,20,10,0,0
bad bitches is the only thing that i like,1,1,0,0,0,0,22.22,22.22,0,0,0,0,0,0,0,0,22.22,0,11.11,11.11,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0
bitch get up off me,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
bitch nigga miss me with it,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitch who do you love,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,20,20,0,0,0,0,20,60,20,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitches get cut off everyday b,1,1,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0
black bottle amp a bad bitch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,16.67,16.67,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0
broke bitch ca tell me nothing,1,1,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,33.33,0,16.67,0,0,0,0,0,0,16.67,16.67,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0
cancel that bitch like nino,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca you see these hoes wo change,1,1,0,0,0,0,14.29,0,14.29,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,14.29,28.57,0,0,0,0,0,0,28.57,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0
fuck no that bitch do even suck dick the kermit videos bout to fuck ig up,1,1,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,6.25,0,0,0,0,0,0,0,6.25,6.25,0,0,0
her pussy lips like heaven doors,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,16.67,33.33,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0
hoe what its hitting for,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,20,0,0,0,0,0,0,20,20,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i met that pussy on ocean dr i gave that pussy a pill,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,0,0,0,0,0,0,0,15.38,23.08,23.08,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0
i need a trippy bitch who fuck on hennessy,1,1,0,0,0,0,11.11,0,11.11,0,0,11.11,0,0,0,0,22.22,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i spend my money how i wa bitch its my business,1,1,0,0,0,0,9.09,0,9.09,9.09,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i txt my old bitch my new bitch pussy wetter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,0,30,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,20,0,0,0,10,10,0,0,0
id say im back to the old me but my old bitches would get excited,1,1,0,0,0,0,20,0,20,0,0,13.33,0,0,6.67,0,13.33,6.67,0,6.67,6.67,0,0,0,0,6.67,6.67,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,13.33,6.67,0,0,6.67,0,0,0,13.33,0,6.67,0,0,0,0,0,0
if you ai bout that murder game pussy nigga shut up,1,1,0,0,0,0,9.09,0,9.09,0,0,0,9.09,0,9.09,0,45.45,0,27.27,0,0,0,0,0,0,18.18,18.18,9.09,0,0,9.09,0,0,9.09,0,0,0,0,9.09,0,0,9.09,9.09,9.09,0,0,0,0,18.18,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
if youre toes ai done you pussy stinks,1,1,0,0,0,0,12.5,0,12.5,0,0,0,12.5,0,12.5,0,25,0,12.5,0,0,0,0,0,0,12.5,25,0,0,0,0,0,0,25,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,25,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0
im done with bitter bitches its a wrap for that if you a angry bird theres a app for that,1,1,0,0,0,0,5,0,5,0,0,0,5,0,5,0,15,0,10,5,0,5,0,5,0,5,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,10,0,0,0,0,0,0
is that ya bitch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,25,0,0,0
it ai nothing to cut a bitch off,1,1,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jus meet son now he ya mane ass bitches shots,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0,20,40,10,0,0,0,0,0,30,10,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,10,0,20,20,0,0,0
lames crying over hoes thats tears of a clown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,11.11,11.11,0,11.11,0,0,11.11,11.11,22.22,11.11,0,0,0,0,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0
